"pic_name","w","set","response_no"
"YtransExp8.png",0.4,1,3
"YtransExp8.png",0.55,2,1
"YtransExp8.png",0.65,3,5
"YtransExp8.png",0.75,4,6
"YtransExp8.png",0.85,5,2
"YtransExp8.png",1,6,4
"YtransExp9.png",0.5,1,3
"YtransExp9.png",0.65,2,5
"YtransExp9.png",0.75,3,1
"YtransExp9.png",0.8,4,6
"YtransExp9.png",0.9,5,4
"YtransExp9.png",1,6,2
"YtransExp10.png",0.5,1,2
"YtransExp10.png",0.6,2,5
"YtransExp10.png",0.7,3,4
"YtransExp10.png",0.75,4,1
"YtransExp10.png",0.85,5,3
"YtransExp10.png",1,6,6
"YtransInv1.png",0,1,2
"YtransInv1.png",0.2,2,3
"YtransInv1.png",0.4,3,1
"YtransInv1.png",0.6,4,4
"YtransInv1.png",0.8,5,5
"YtransInv1.png",1,6,6
"YtransInv2.png",0.1,1,2
"YtransInv2.png",0.3,2,5
"YtransInv2.png",0.5,3,3
"YtransInv2.png",0.7,4,1
"YtransInv2.png",0.9,5,6
"YtransInv2.png",1.1,6,4
"YtransInv3.png",0.05,1,1
"YtransInv3.png",0.3,2,2
"YtransInv3.png",0.5,3,6
"YtransInv3.png",0.65,4,3
"YtransInv3.png",0.8,5,4
"YtransInv3.png",1,6,5
"YtransInv4.png",0.1,1,6
"YtransInv4.png",0.3,2,5
"YtransInv4.png",0.55,3,1
"YtransInv4.png",0.7,4,2
"YtransInv4.png",0.85,5,3
"YtransInv4.png",1,6,4
"YtransInv5.png",0.4,1,2
"YtransInv5.png",0.6,2,3
"YtransInv5.png",0.7,3,6
"YtransInv5.png",0.8,4,4
"YtransInv5.png",0.9,5,5
"YtransInv5.png",1.05,6,1
"YtransInv6.png",0.35,1,2
"YtransInv6.png",0.65,2,4
"YtransInv6.png",0.75,3,3
"YtransInv6.png",0.85,4,6
"YtransInv6.png",0.95,5,1
"YtransInv6.png",1.05,6,5
"YtransInv7.png",0.35,1,2
"YtransInv7.png",0.5,2,3
"YtransInv7.png",0.6,3,6
"YtransInv7.png",0.7,4,5
"YtransInv7.png",0.8,5,1
"YtransInv7.png",0.95,6,4
"YtransInv8.png",0.4,1,6
"YtransInv8.png",0.55,2,1
"YtransInv8.png",0.65,3,2
"YtransInv8.png",0.75,4,3
"YtransInv8.png",0.85,5,4
"YtransInv8.png",1,6,5
"YtransInv9.png",0.5,1,5
"YtransInv9.png",0.65,2,4
"YtransInv9.png",0.75,3,3
"YtransInv9.png",0.8,4,2
"YtransInv9.png",0.9,5,1
"YtransInv9.png",1,6,6
"YtransInv10.png",0.5,1,2
"YtransInv10.png",0.6,2,6
"YtransInv10.png",0.7,3,3
"YtransInv10.png",0.75,4,5
"YtransInv10.png",0.85,5,1
"YtransInv10.png",1,6,4
