"ip.id","id","response","response_no","plot_location","time_taken","conf_level","choice_reason","sample_size","param_value","test_param","p_value","pic_id","pic_name","experiment","difficulty","description","academic_study","pic_num","len","gets.paid","user.seq","answer.w","correct.answer.w","ans.liefactor","ans.d"
1,91,FALSE,1,4,51,4,1,12,"w-0.65-4","Inv",0,1353,"ytransinv7.png","turk8",4,"turk8",1,18,31,TRUE,1,0.8,0.35,1.27789834661428,1.63027006836176
1,91,FALSE,4,3,19,4,1,13,"w-0.8-3","Exp",0,1342,"ytransexp6.png","turk8",3,"turk8",1,7,31,TRUE,2,0.35,0.35,1,1.38142732488347
1,91,FALSE,6,4,106,4,1,12,"w-0.625-2","Inv",0,1350,"ytransinv4.png","turk8",2,"turk8",1,15,31,TRUE,3,0.1,0.1,1,1.07878375854522
1,91,FALSE,1,2,61,4,1,25,"w-0.6-0","Sin",0,1325,"ytranssin1.png","turk8",0,"turk8",1,24,31,TRUE,4,0.2,0,1.17681901593344,1.17681901593344
1,91,FALSE,4,3,14,4,1,25,"w-0.75-3","Sin",0,1331,"ytranssin7.png","turk8",3,"turk8",1,30,31,TRUE,5,0.6,0.4,1.13062503547538,1.53045704780032
1,91,FALSE,6,5,27,4,1,13,"w-0.6-1","Exp",0,1338,"ytransexp2.png","turk8",1,"turk8",1,3,31,TRUE,6,0.3,0.1,1.1965397226109,1.32693770704298
1,91,FALSE,2,4,31,4,1,12,"w-0.65-4","Inv",0,1353,"ytransinv7.png","turk8",4,"turk8",1,18,31,TRUE,7,0.35,0.35,1,1.27574315490827
1,91,FALSE,5,1,47,4,1,12,"w-0.75-3","Inv",0,1351,"ytransinv5.png","turk8",3,"turk8",1,16,31,TRUE,8,0.9,0.4,1.29952725954978,1.70905382690698
1,91,FALSE,6,4,27,4,1,12,"w-0.65-4","Inv",0,1353,"ytransinv7.png","turk8",4,"turk8",1,18,31,TRUE,9,0.6,0.35,1.15438797034127,1.47270255127132
1,91,TRUE,1,1,78,4,1,25,"w-0.5-1","Sin",0,1327,"ytranssin3.png","turk8",1,"turk8",1,26,31,TRUE,10,1,0,1.8840950796672,1.8840950796672
1,91,FALSE,3,4,44,4,1,25,"w-0.7-4","Sin",0,1334,"ytranssin10.png","turk8",4,"turk8",1,21,31,TRUE,11,0.65,0.4,1.16328129434423,1.57466180178368
1,91,FALSE,1,3,120,4,1,25,"w-0.75-3","Sin",0,1331,"ytranssin7.png","turk8",3,"turk8",1,30,31,TRUE,12,0.4,0.4,1,1.35363803186688
1,91,FALSE,5,6,33,4,1,25,"w-0.725-5","Sin",0,1336,"ytranssin12.png","turk8",5,"turk8",1,23,31,TRUE,13,0.85,0.5,1.21457911014447,1.75148081771712
1,91,FALSE,3,2,20,4,1,25,"w-0.6-0","Sin",0,1325,"ytranssin1.png","turk8",0,"turk8",1,24,31,TRUE,14,0,0,1,1
1,91,FALSE,5,6,33,4,1,25,"w-0.775-5","Sin",0,1335,"ytranssin11.png","turk8",5,"turk8",1,22,31,TRUE,15,0.8,0.5,1.18392495155241,1.70727606373376
1,91,FALSE,3,5,55,4,1,12,"w-0.7-4","Inv",0,1354,"ytransinv8.png","turk8",4,"turk8",1,19,31,TRUE,16,0.75,0.4,1.20966908168484,1.59087818908915
1,91,FALSE,6,4,24,4,1,12,"w-0.625-2","Inv",0,1350,"ytransinv4.png","turk8",2,"turk8",1,15,31,TRUE,17,0.1,0.1,1,1.07878375854522
1,91,TRUE,6,6,8,4,1,25,"w-0.725-5","Sin",0,1336,"ytranssin12.png","turk8",5,"turk8",1,23,31,TRUE,18,1,0.5,1.30654158592068,1.8840950796672
1,91,FALSE,4,3,31,4,1,25,"w-0.575-2","Sin",0,1329,"ytranssin5.png","turk8",2,"turk8",1,28,31,TRUE,19,0.3,0.05,1.21166707877325,1.26522852390016
1,91,FALSE,4,6,16,4,1,12,"w-0.5-1","Inv",0,1347,"ytransinv1.png","turk8",1,"turk8",1,12,31,TRUE,20,0.6,0,1.47270255127132,1.47270255127132
1,91,FALSE,3,6,46,4,1,25,"w-0.8-3","Sin",0,1332,"ytranssin8.png","turk8",3,"turk8",1,31,31,TRUE,21,0.75,0.35,1.27006953148348,1.6630713097504
1,91,FALSE,1,2,13,4,1,25,"w-0.6-0","Sin",0,1325,"ytranssin1.png","turk8",0,"turk8",1,24,31,TRUE,22,0.2,0,1.17681901593344,1.17681901593344
1,91,FALSE,2,4,22,4,1,25,"w-0.625-2","Sin",0,1330,"ytranssin6.png","turk8",2,"turk8",1,29,31,TRUE,23,0.55,0.1,1.36552674608058,1.48625229381696
1,91,FALSE,2,4,13,4,1,12,"w-0.65-4","Inv",0,1353,"ytransinv7.png","turk8",4,"turk8",1,18,31,TRUE,24,0.35,0.35,1,1.27574315490827
1,91,FALSE,6,1,14,4,1,25,"w-0.5-1","Sin",0,1327,"ytranssin3.png","turk8",1,"turk8",1,26,31,TRUE,25,0.2,0,1.17681901593344,1.17681901593344
1,91,FALSE,2,5,24,4,1,12,"w-0.7-4","Inv",0,1354,"ytransinv8.png","turk8",4,"turk8",1,19,31,TRUE,26,0.65,0.4,1.14976362977489,1.51209443054393
1,91,FALSE,3,2,18,4,1,25,"w-0.6-0","Sin",0,1325,"ytranssin1.png","turk8",0,"turk8",1,24,31,TRUE,27,0,0,1,1
1,91,FALSE,2,6,47,4,1,12,"w-0.6-1","Inv",0,1348,"ytransinv2.png","turk8",1,"turk8",1,13,31,TRUE,28,0.1,0.1,1,1.07878375854522
1,91,FALSE,6,4,23,4,1,25,"w-0.7-4","Sin",0,1334,"ytranssin10.png","turk8",4,"turk8",1,21,31,TRUE,29,0.75,0.4,1.22859381208192,1.6630713097504
1,91,FALSE,2,4,17,4,1,12,"w-0.725-5","Inv",0,1356,"ytransinv10.png","turk8",5,"turk8",1,11,31,TRUE,30,0.5,0.5,1,1.3939187927261
1,91,FALSE,1,5,38,4,1,12,"w-0.575-2","Inv",0,1349,"ytransinv3.png","turk8",2,"turk8",1,14,31,TRUE,31,0.05,0.05,1,1.03939187927261
2,42,FALSE,3,6,28,4,1,25,"w-0.6-1","Sin",0,1328,"ytranssin4.png","turk8",1,"turk8",5,27,41,TRUE,1,1.1,0.1,1.81228165795684,1.97250458763392
2,42,TRUE,6,6,23,1,1,13,"w-0.725-5","Exp",0,1346,"ytransexp10.png","turk8",5,"turk8",5,1,41,TRUE,2,1,0.5,1.35270731200043,2.08979235680992
2,42,TRUE,4,4,31,1,1,12,"w-0.65-4","Inv",0,1353,"ytransinv7.png","turk8",4,"turk8",5,18,41,TRUE,3,0.95,0.35,1.37053112881904,1.74844570617959
2,42,FALSE,4,1,23,2,1,25,"w-0.575-0","Sin",0,1326,"ytranssin2.png","turk8",0,"turk8",5,25,41,TRUE,4,1.4,0,2.23773311153408,2.23773311153408
2,42,FALSE,3,4,54,3,1,12,"w-0.625-2","Inv",0,1350,"ytransinv4.png","turk8",2,"turk8",5,15,41,TRUE,5,0.85,0.1,1.54772625598848,1.66966194763437
2,42,TRUE,1,1,34,5,1,13,"w-0.5-1","Exp",0,1337,"ytransexp1.png","turk8",1,"turk8",5,2,41,TRUE,6,1,0,2.08979235680992,2.08979235680992
2,42,TRUE,4,4,68,4,1,13,"w-0.75-3","Exp",0,1341,"ytransexp5.png","turk8",3,"turk8",5,6,41,TRUE,7,1.05,0.4,1.49331894544169,2.14428197465042
2,42,FALSE,6,1,34,4,1,12,"w-0.75-3","Inv",0,1351,"ytransinv5.png","turk8",3,"turk8",5,16,41,TRUE,8,0.7,0.4,1.17971635572987,1.55148630981654
2,42,FALSE,3,6,38,4,1,25,"w-0.775-5","Sin",0,1335,"ytranssin11.png","turk8",5,"turk8",5,22,41,TRUE,9,0.9,0.5,1.24523326873654,1.79568557170048
2,42,TRUE,1,1,22,4,1,12,"w-0.8-3","Inv",0,1352,"ytransinv6.png","turk8",3,"turk8",5,17,41,TRUE,10,0.95,0.35,1.37053112881904,1.74844570617959
2,42,TRUE,5,5,24,1,1,13,"w-0.65-4","Exp",0,1343,"ytransexp7.png","turk8",4,"turk8",5,8,41,TRUE,11,0.95,0.35,1.47333319843018,2.03530273896942
2,42,FALSE,2,5,17,1,1,13,"w-0.6-1","Exp",0,1338,"ytransexp2.png","turk8",1,"turk8",5,3,41,TRUE,12,1.1,0.1,1.98269861305448,2.19877159249092
2,42,FALSE,4,2,28,4,1,13,"w-0.775-5","Exp",0,1345,"ytransexp9.png","turk8",5,"turk8",5,10,41,TRUE,13,0.9,0.5,1.28216584960035,1.98081312112893
2,42,TRUE,2,2,27,1,1,13,"w-0.775-5","Exp",0,1345,"ytransexp9.png","turk8",5,"turk8",5,10,41,TRUE,14,1,0.5,1.35270731200043,2.08979235680992
2,42,FALSE,3,2,19,4,1,25,"w-0.6-0","Sin",0,1325,"ytranssin1.png","turk8",0,"turk8",5,24,41,TRUE,15,0,0,1,1
2,42,TRUE,4,4,31,1,1,13,"w-0.75-3","Exp",0,1341,"ytransexp5.png","turk8",3,"turk8",5,6,41,TRUE,16,1.05,0.4,1.49331894544169,2.14428197465042
2,42,FALSE,4,3,137,2,1,25,"w-0.75-3","Sin",0,1331,"ytranssin7.png","turk8",3,"turk8",5,30,41,TRUE,17,0.6,0.4,1.13062503547538,1.53045704780032
2,42,TRUE,1,1,20,1,1,12,"w-0.75-3","Inv",0,1351,"ytransinv5.png","turk8",3,"turk8",5,16,41,TRUE,18,1.05,0.4,1.38938543741471,1.82722946472481
2,42,FALSE,4,6,45,1,1,12,"w-0.6-1","Inv",0,1348,"ytransinv2.png","turk8",1,"turk8",5,13,41,TRUE,19,1.1,0.1,1.7303016746513,1.86662134399742
2,42,FALSE,2,6,18,4,1,12,"w-0.775-5","Inv",0,1355,"ytransinv9.png","turk8",5,"turk8",5,20,41,TRUE,20,0.8,0.5,1.16955885584513,1.63027006836176
2,42,FALSE,5,3,30,2,1,13,"w-0.8-3","Exp",0,1342,"ytransexp6.png","turk8",3,"turk8",5,7,41,TRUE,21,1.05,0.35,1.55222206483522,2.14428197465042
