"id","response","ip_address","response_no","plot_location","start_time","end_time","time_taken","conf_level","choice_reason","sample_size","param_value","test_param","p_value","pic_id","pic_name","experiment","difficulty","description","age","gender","academic_study"
1,"FALSE","209.2.222.162",5,6,"2013-03-29 18:43:59","2013-03-29 18:44:42",43,2,"1",12,"w-0.6-1","2",0,"1348","YTransInv2.png","turk8","1","turk8",NA,NA,NA
2,"FALSE","108.94.162.85",3,6,"2013-03-29 19:05:54","2013-03-29 19:07:01",67,3,"1",25,"w-0.775-5","0",0,"1335","YtransSin11.png","turk8","5","turk8",6,1,5
2,"FALSE","108.94.162.85",2,6,"2013-03-29 18:59:48","2013-03-29 19:00:42",54,2,"1",12,"w-0.5-1","2",0,"1347","YTransInv1.png","turk8","1","turk8",6,1,5
2,"TRUE","108.94.162.85",3,3,"2013-03-29 18:58:48","2013-03-29 18:59:43",55,2,"1",25,"w-0.575-2","0",0,"1329","YtransSin5.png","turk8","2","turk8",6,1,5
2,"TRUE","108.94.162.85",2,2,"2013-03-29 19:07:03","2013-03-29 19:07:39",36,4,"1",25,"w-0.6-0","0",0,"1325","YtransSin1.png","turk8","0","turk8",6,1,5
2,"FALSE","108.94.162.85",2,1,"2013-03-29 19:02:31","2013-03-29 19:03:15",44,2,"1",12,"w-0.75-3","2",0,"1351","YTransInv5.png","turk8","3","turk8",6,1,5
2,"TRUE","108.94.162.85",3,3,"2013-03-29 19:05:09","2013-03-29 19:05:50",41,4,"1",25,"w-0.65-4","0",0,"1333","YtransSin9.png","turk8","4","turk8",6,1,5
2,"FALSE","108.94.162.85",3,6,"2013-03-29 19:00:48","2013-03-29 19:01:26",38,2,"1",25,"w-0.6-1","0",0,"1328","YtransSin4.png","turk8","1","turk8",6,1,5
2,"FALSE","108.94.162.85",5,4,"2013-03-29 19:07:43","2013-03-29 19:08:31",48,3,"1",12,"w-0.625-2","2",0,"1350","YTransInv4.png","turk8","2","turk8",6,1,5
2,"FALSE","108.94.162.85",3,4,"2013-03-29 19:03:17","2013-03-29 19:05:07",110,3,"1",12,"w-0.65-4","2",0,"1353","YTransInv7.png","turk8","4","turk8",6,1,5
2,"FALSE","108.94.162.85",1,6,"2013-03-29 19:01:31","2013-03-29 19:02:28",57,2,"1",25,"w-0.8-3","0",0,"1332","YtransSin8.png","turk8","3","turk8",6,1,5
2,"FALSE","108.94.162.85",6,4,"2013-03-29 18:57:01","2013-03-29 18:58:24",83,2,"1",12,"w-0.725-5","2",0,"1356","YTransInv10.png","turk8","5","turk8",6,1,5
3,"FALSE","78.157.28.113",6,3,"2013-03-29 17:49:04","2013-03-29 17:49:25",21,3,"1",25,"w-0.75-3","0",0,"1331","YtransSin7.png","turk8","3","turk8",NA,NA,NA
4,"FALSE","68.100.125.222",2,4,"2013-03-29 18:51:13","2013-03-29 18:51:38",25,3,"1",12,"w-0.65-4","2",0,"1353","YTransInv7.png","turk8","4","turk8",4,2,4
