"pic_id","sample_size","test_param","param_value","p_value","obv_plot_location","pic_name","experiment","difficulty"
1,25,"turk8_2sin(x)","w-0.6-0",0,2,"YtransSin1.png","turk8",0
2,25,"turk8_2sin(x)","w-0.575-0",0,1,"YtransSin2.png","turk8",0
3,25,"turk8_2sin(x)","w-0.5-1",0,1,"YtransSin3.png","turk8",1
4,25,"turk8_2sin(x)","w-0.6-1",0,6,"YtransSin4.png","turk8",1
5,25,"turk8_2sin(x)","w-0.575-2",0,3,"YtransSin5.png","turk8",2
6,25,"turk8_2sin(x)","w-0.625-2",0,4,"YtransSin6.png","turk8",2
7,25,"turk8_2sin(x)","w-0.75-3",0,3,"YtransSin7.png","turk8",3
8,25,"turk8_2sin(x)","w-0.8-3",0,6,"YtransSin8.png","turk8",3
9,25,"turk8_2sin(x)","w-0.65-4",0,3,"YtransSin9.png","turk8",4
10,25,"turk8_2sin(x)","w-0.7-4",0,4,"YtransSin10.png","turk8",4
11,25,"turk8_2sin(x)","w-0.775-5",0,6,"YtransSin11.png","turk8",5
12,25,"turk8_2sin(x)","w-0.725-5",0,6,"YtransSin12.png","turk8",5
1,13,"turk8_exp(x)","w-0.5-1",0,1,"YTransExp1.png","turk8",1
2,13,"turk8_exp(x)","w-0.6-1",0,5,"YTransExp2.png","turk8",1
3,13,"turk8_exp(x)","w-0.575-2",0,2,"YTransExp3.png","turk8",2
4,13,"turk8_exp(x)","w-0.625-2",0,3,"YTransExp4.png","turk8",2
5,13,"turk8_exp(x)","w-0.75-3",0,4,"YTransExp5.png","turk8",3
6,13,"turk8_exp(x)","w-0.8-3",0,3,"YTransExp6.png","turk8",3
7,13,"turk8_exp(x)","w-0.65-4",0,5,"YTransExp7.png","turk8",4
8,13,"turk8_exp(x)","w-0.7-4",0,4,"YTransExp8.png","turk8",4
9,13,"turk8_exp(x)","w-0.775-5",0,2,"YTransExp9.png","turk8",5
10,13,"turk8_exp(x)","w-0.725-5",0,6,"YTransExp10.png","turk8",5
1,12,"turk8_inv(x)","w-0.5-1",0,6,"YTransInv1.png","turk8",1
2,12,"turk8_inv(x)","w-0.6-1",0,6,"YTransInv2.png","turk8",1
3,12,"turk8_inv(x)","w-0.575-2",0,5,"YTransInv3.png","turk8",2
4,12,"turk8_inv(x)","w-0.625-2",0,4,"YTransInv4.png","turk8",2
5,12,"turk8_inv(x)","w-0.75-3",0,1,"YTransInv5.png","turk8",3
6,12,"turk8_inv(x)","w-0.8-3",0,1,"YTransInv6.png","turk8",3
7,12,"turk8_inv(x)","w-0.65-4",0,4,"YTransInv7.png","turk8",4
8,12,"turk8_inv(x)","w-0.7-4",0,5,"YTransInv8.png","turk8",4
9,12,"turk8_inv(x)","w-0.775-5",0,6,"YTransInv9.png","turk8",5
10,12,"turk8_inv(x)","w-0.725-5",0,4,"YTransInv10.png","turk8",5
